_id,DISH_NAME,PRICE,STATUS,TYPE,DESCRIPTION,VIEW,DATECREATED
5feaef7993f2e60091f5ed81,AVOCADO,49,0,pizza,"Slices of avocado, Kalamata olives, sweet cherry peppers, mushrooms, red onion & vibrant capsicum, topped with spring onions",154,2019-04-21T14:36:27.320Z
5feaef7993f2e60091f5ed82,SPICY PEPPY PANEER,20,1,pizza,"Diced paneer cheese, red cherry peppers, sliced red onion, capsicum & spicy jalapenos on a tikka sauce base, drizzled with peri peri sauce",344,2019-09-21T23:38:39.930Z
5feaef7993f2e60091f5ed83,INDI CHICKEN TIKKA,13,1,pizza,"Seasoned chicken, diced paneer cheese, capsicum, diced tomato & red onion, all on a tikka sauce base, sprinkled with chilli flakes and spring onions",332,2019-09-20T06:12:26.670Z
5feaef7993f2e60091f5ed84,LOADED BURGER,34,1,pizza,"Seasoned ground beef, diced tomato & red onion, all finished with special burger sauce & spring onions",627,2019-02-14T15:01:17.100Z
5feaef7993f2e60091f5ed85,TACO FIESTA,22,0,pizza,"Seasoned ground beef, vibrant capsicum, diced tomato & red onion, all tied together with creamy taco sauce",986,2019-10-19T01:50:14.730Z
5feaef7993f2e60091f5ed86,MALTED VANILLA THICKSHAKE,40,1,drink,Handcrafted Malted Vanilla Thickshake. Made at -14 degrees for the thickest thickshake ever!,849,2019-06-17T06:20:02.100Z
5feaef7993f2e60091f5ed87,SOLO,35,1,drink,375ml per can,478,2019-12-21T14:01:19.680Z
5feaef7993f2e60091f5ed88,COOL RIDGE WATER 600ML,6,1,drink,375ml per can,937,2019-12-10T12:11:07.630Z
5feaef7993f2e60091f5ed89,MOUNTAIN DEW,31,0,drink,375ml per can,714,2016-09-29T01:41:34.720Z
5feaef7993f2e60091f5ed8a,SUNKIST,41,1,drink,375ml per can,878,2016-09-07T03:21:27.470Z
5feaef7993f2e60091f5ed8b,SEVEN UP,14,1,drink,375ml per can,992,2018-09-01T14:30:01.120Z
5feaef7993f2e60091f5ed8c,PEPSI,3,1,drink,375ml per can,692,2018-02-17T04:41:19.880Z
5feaef7993f2e60091f5ed8d,CHOCOLATE MALT THICKSHAKE,37,1,drink,Handcrafted Chocolate Malt Thickshake. Made at -14 degrees for the thickest thickshake ever!,346,2016-11-24T02:29:47.650Z
5feaef7993f2e60091f5ed8e,SALTED CARAMEL THICKSHAKE,38,1,drink,"Handcrafted Salted Caramel Thickshake, topped with whipped cream and a salted caramel swirl. Made at -14 degrees for the thickest thickshake ever!",147,2018-03-26T12:27:45.900Z
